order_id,customer_id,order_date,order_status,sales_channel,shipping_city,courier_name,payment_method,promo_code
UB-000065,C00492,2025-02-23,Returned,Mobile App,Karachi,BlueLine,Wallet,APP5
UB-000066,C01139,2025-03-16,Returned,Mobile App,Peshawar,RapidGo,Cash on Delivery,
UB-000067,C00487,2024-09-28,Completed,Web,Rawalpindi,SwiftEx,Card,
UB-000068,C01200,2025-10-25,Completed,Marketplace,Lahore,BlueLine,Wallet,
UB-000069,C00260,2024-05-16,Completed,Mobile App,Islamabad,SwiftEx,Card,
UB-000070,C00187,2024-09-05,Completed,Web,Lahore,BlueLine,Cash on Delivery,
UB-000071,C00931,2025-04-10,Completed,Web,Faisalabad,BlueLine,Wallet,
UB-000072,C00116,2025-12-19,Completed,Mobile App,Karachi,RapidGo,Card,WELCOME10
UB-000073,C00081,2025-03-14,Completed,Marketplace,Karachi,SwiftEx,Bank Transfer,
UB-000074,C01453,2025-12-04,Completed,Mobile App,Faisalabad,RapidGo,Bank Transfer,WELCOME10
UB-000075,C00724,2024-01-15,Completed,Marketplace,Rawalpindi,RapidGo,Cash on Delivery,WELCOME10
UB-000076,C00390,2025-09-26,Completed,Mobile App,Rawalpindi,BlueLine,Wallet,
UB-000077,C00238,2024-09-04,Completed,Web,Karachi,SwiftEx,Cash on Delivery,APP5
UB-000078,C00822,2025-01-08,Completed,Mobile App,Islamabad,BlueLine,Card,
UB-000079,C00243,2025-07-27,Completed,Web,Karachi,SwiftEx,Bank Transfer,
UB-000080,C01086,2025-09-23,Completed,Mobile App,Rawalpindi,SwiftEx,Card,
UB-000081,C00195,2025-10-27,Completed,Mobile App,Rawalpindi,Store Pickup,Cash on Delivery,
UB-000082,C00200,2024-10-05,Completed,Marketplace,Karachi,BlueLine,Bank Transfer,FREESHIP
UB-000083,C01316,2025-05-12,Completed,Marketplace,Karachi,RapidGo,Card,
UB-000084,C00555,2024-09-16,Completed,Web,Lahore,SwiftEx,Card,APP5
UB-000085,C00330,2025-07-28,Completed,Web,Lahore,Store Pickup,Cash on Delivery,
UB-000086,C01239,2025-07-03,Completed,Mobile App,Faisalabad,BlueLine,Card,APP5
UB-000087,C01369,2024-11-27,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000088,C00465,2025-05-10,Completed,Web,Faisalabad,RapidGo,Wallet,SAVE15
UB-000089,C01419,2024-06-15,Completed,Web,Islamabad,BlueLine,Wallet,
UB-000090,C01098,2025-11-20,Completed,Mobile App,Rawalpindi,BlueLine,Card,
UB-000091,C00487,2024-10-15,Completed,Mobile App,Rawalpindi,SwiftEx,Card,WELCOME10
UB-000092,C01235,2025-03-12,Completed,Marketplace,Karachi,BlueLine,Cash on Delivery,APP5
UB-000093,C00674,2024-09-12,Completed,Mobile App,Islamabad,SwiftEx,Cash on Delivery,
UB-000094,C00260,2024-05-28,Completed,Web,Islamabad,RapidGo,Wallet,
UB-000095,C00885,2025-06-09,Completed,Mobile App,Lahore,SwiftEx,Card,
UB-000096,C00121,2024-03-02,Completed,Mobile App,Faisalabad,RapidGo,Card,
UB-000097,C00375,2025-01-01,Completed,Web,Lahore,BlueLine,Wallet,
UB-000098,C00295,2025-05-09,Completed,Web,Islamabad,SwiftEx,Cash on Delivery,
UB-000099,C00868,2025-05-16,Completed,Mobile App,Peshawar,SwiftEx,Cash on Delivery,
UB-000100,C00827,2025-10-30,Completed,Web,Faisalabad,BlueLine,Card,FREESHIP
UB-000101,C01432,2025-07-13,Completed,Web,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000102,C00928,2024-10-12,Completed,Mobile App,Karachi,BlueLine,Bank Transfer,FREESHIP
UB-000103,C00641,2024-11-06,Completed,Web,Karachi,BlueLine,Card,
UB-000104,C01470,2024-07-16,Returned,Mobile App,Rawalpindi,RapidGo,Card,
UB-000105,C01487,2024-03-22,Completed,Mobile App,Islamabad,BlueLine,Cash on Delivery,APP5
UB-000106,C00285,2025-01-27,Completed,Web,Karachi,RapidGo,Cash on Delivery,
UB-000107,C00492,2025-09-03,Completed,Mobile App,Karachi,BlueLine,Bank Transfer,WELCOME10
UB-000108,C00921,2025-09-09,Completed,Web,Rawalpindi,BlueLine,Cash on Delivery,SAVE15
UB-000109,C01568,2025-09-23,Completed,Marketplace,Rawalpindi,BlueLine,Cash on Delivery,SAVE15
UB-000110,C00688,2024-01-10,Completed,Mobile App,Islamabad,SwiftEx,Card,
UB-000111,C01208,2024-08-04,Completed,Web,Islamabad,RapidGo,Wallet,APP5
UB-000112,C00117,2024-04-04,Completed,Web,Rawalpindi,Store Pickup,Cash on Delivery,
UB-000113,C01467,2024-10-31,Completed,Web,Rawalpindi,RapidGo,Cash on Delivery,
UB-000114,C00303,2025-06-03,Completed,Web,Karachi,BlueLine,Cash on Delivery,
UB-000115,C00063,2025-03-04,Completed,Mobile App,Karachi,SwiftEx,Card,
UB-000116,C00188,2025-04-18,Completed,Web,Islamabad,SwiftEx,Card,APP5
UB-000117,C00758,2024-02-11,Completed,Mobile App,Islamabad,BlueLine,Card,WELCOME10
UB-000118,C01263,2024-11-07,Completed,Web,Rawalpindi,Store Pickup,Card,
UB-000119,C00867,2024-08-23,Completed,Web,Islamabad,BlueLine,Wallet,FREESHIP
UB-000120,C01412,2024-06-24,Completed,Mobile App,Lahore,RapidGo,Cash on Delivery,
UB-000121,C01420,2025-09-21,Completed,Mobile App,Lahore,SwiftEx,Cash on Delivery,SAVE15
UB-000122,C01412,2025-11-17,Completed,Mobile App,Lahore,BlueLine,Card,
UB-000123,C01290,2024-11-18,Completed,Marketplace,Rawalpindi,BlueLine,Card,
UB-000124,C01571,2024-11-15,Completed,Mobile App,Islamabad,Store Pickup,Bank Transfer,
UB-000125,C00968,2025-06-11,Returned,Mobile App,Karachi,SwiftEx,Cash on Delivery,SAVE15
UB-000126,C00068,2025-03-28,Completed,Web,Islamabad,SwiftEx,Card,APP5
UB-000127,C01415,2024-06-11,Completed,Web,Lahore,SwiftEx,Cash on Delivery,
UB-000128,C00287,2024-03-04,Completed,Web,Faisalabad,BlueLine,Wallet,
UB-000129,C01243,2025-12-26,Completed,Web,Islamabad,SwiftEx,Cash on Delivery,FREESHIP
UB-000130,C00571,2024-08-27,Completed,Marketplace,Islamabad,BlueLine,Card,
UB-000131,C00257,2025-09-14,Completed,Mobile App,Lahore,BlueLine,Card,APP5
UB-000132,C01080,2024-03-18,Completed,Web,Faisalabad,SwiftEx,Wallet,
UB-000133,C01306,2025-03-14,Completed,Mobile App,Rawalpindi,RapidGo,Cash on Delivery,
UB-000134,C01412,2025-06-11,Completed,Web,Lahore,RapidGo,Cash on Delivery,FREESHIP
UB-000135,C00255,2025-11-08,Completed,Marketplace,Karachi,SwiftEx,Bank Transfer,
UB-000136,C01145,2024-07-01,Completed,Mobile App,Rawalpindi,RapidGo,Cash on Delivery,SAVE15
UB-000137,C00608,2025-11-04,Completed,Mobile App,Islamabad,Store Pickup,Wallet,
UB-000138,C00044,2024-12-11,Completed,Web,Karachi,SwiftEx,Wallet,
UB-000139,C01077,2025-04-11,Completed,Mobile App,Islamabad,RapidGo,Cash on Delivery,SAVE15
UB-000140,C00675,2025-12-01,Cancelled,Web,Islamabad,BlueLine,Cash on Delivery,
UB-000141,C01155,2025-07-22,Completed,Web,Faisalabad,BlueLine,Cash on Delivery,
UB-000142,C00173,2025-02-09,Completed,Mobile App,Faisalabad,SwiftEx,Bank Transfer,
UB-000143,C01286,2025-09-30,Completed,Marketplace,Lahore,BlueLine,Bank Transfer,APP5
UB-000144,C01147,2024-01-26,Completed,Web,Karachi,RapidGo,Cash on Delivery,
UB-000145,C01266,2025-07-31,Completed,Mobile App,Karachi,SwiftEx,Cash on Delivery,
UB-000146,C00446,2025-05-26,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,
UB-000147,C01458,2025-07-04,Completed,Mobile App,Lahore,BlueLine,Cash on Delivery,FREESHIP
UB-000148,C00417,2025-10-10,Completed,Mobile App,Lahore,SwiftEx,Wallet,
UB-000149,C00799,2025-01-11,Completed,Mobile App,Islamabad,BlueLine,Card,
UB-000150,C01408,2024-05-27,Returned,Mobile App,Islamabad,BlueLine,Bank Transfer,
UB-000151,C01089,2025-04-02,Completed,Web,Islamabad,RapidGo,Cash on Delivery,
UB-000152,C01497,2024-05-13,Completed,Web,Rawalpindi,SwiftEx,Card,
UB-000153,C01553,2024-11-30,Completed,Web,Faisalabad,BlueLine,Bank Transfer,
UB-000154,C01541,2025-01-29,Completed,Web,Faisalabad,RapidGo,Card,
UB-000155,C00523,2024-10-26,Completed,Mobile App,Faisalabad,BlueLine,Card,
UB-000156,C00506,2025-02-04,Completed,Mobile App,Karachi,Store Pickup,Cash on Delivery,APP5
UB-000157,C00398,2024-12-13,Completed,Web,Rawalpindi,RapidGo,Bank Transfer,SAVE15
UB-000158,C01331,2024-03-11,Completed,Mobile App,Faisalabad,BlueLine,Cash on Delivery,
UB-000159,C00435,2024-06-17,Completed,Mobile App,Peshawar,Store Pickup,Cash on Delivery,FREESHIP
UB-000160,C01356,2024-04-30,Completed,Web,Lahore,RapidGo,Cash on Delivery,WELCOME10
UB-000161,C01137,2024-01-26,Cancelled,Marketplace,Peshawar,Store Pickup,Bank Transfer,
UB-000162,C01220,2025-12-04,Completed,Web,Karachi,SwiftEx,Card,WELCOME10
UB-000163,C00306,2025-01-29,Completed,Mobile App,Islamabad,BlueLine,Cash on Delivery,
UB-000164,C00145,2025-12-01,Completed,Web,Faisalabad,BlueLine,Card,
UB-000165,C01211,2025-03-17,Completed,Mobile App,Lahore,Store Pickup,Bank Transfer,APP5
UB-000166,C01133,2025-06-14,Returned,Mobile App,Karachi,SwiftEx,Cash on Delivery,FREESHIP
UB-000167,C00637,2025-08-12,Completed,Marketplace,Peshawar,Store Pickup,Cash on Delivery,WELCOME10
UB-000168,C01504,2024-07-23,Completed,Marketplace,Islamabad,BlueLine,Cash on Delivery,SAVE15
UB-000169,C01547,2025-06-17,Completed,Web,Peshawar,BlueLine,Cash on Delivery,
UB-000170,C00066,2024-09-07,Completed,Mobile App,Lahore,RapidGo,Bank Transfer,
UB-000171,C00723,2024-09-05,Completed,Mobile App,Lahore,SwiftEx,Cash on Delivery,
UB-000172,C00281,2025-05-12,Completed,Mobile App,Islamabad,BlueLine,Card,WELCOME10
UB-000173,C00097,2025-03-07,Completed,Mobile App,Lahore,SwiftEx,Card,WELCOME10
UB-000174,C01517,2024-05-12,Completed,Marketplace,Rawalpindi,SwiftEx,Wallet,WELCOME10
UB-000175,C00359,2024-06-02,Returned,Marketplace,Islamabad,RapidGo,Card,
UB-000176,C00262,2024-07-09,Completed,Mobile App,Lahore,BlueLine,Bank Transfer,
UB-000177,C01140,2024-05-24,Completed,Web,Islamabad,Store Pickup,Wallet,SAVE15
UB-000178,C00127,2025-12-18,Completed,Mobile App,Karachi,SwiftEx,Wallet,WELCOME10
UB-000179,C00366,2024-12-30,Completed,Web,Karachi,RapidGo,Cash on Delivery,
UB-000180,C01475,2025-09-23,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,APP5
UB-000181,C00523,2025-09-26,Completed,Mobile App,Faisalabad,BlueLine,Cash on Delivery,FREESHIP
UB-000182,C00734,2025-10-02,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000183,C00330,2025-01-30,Completed,Web,Lahore,Store Pickup,Cash on Delivery,
UB-000184,C00923,2024-11-29,Completed,Web,Islamabad,SwiftEx,Cash on Delivery,
UB-000185,C01342,2024-01-22,Completed,Web,Islamabad,SwiftEx,Cash on Delivery,
UB-000186,C01014,2024-10-25,Completed,Web,Karachi,SwiftEx,Cash on Delivery,
UB-000187,C00880,2025-10-12,Completed,Web,Lahore,RapidGo,Wallet,WELCOME10
UB-000188,C00101,2025-12-17,Completed,Web,Faisalabad,RapidGo,Bank Transfer,
UB-000189,C01202,2024-09-16,Completed,Marketplace,Karachi,BlueLine,Bank Transfer,FREESHIP
UB-000190,C01400,2024-02-27,Completed,Web,Lahore,RapidGo,Card,APP5
UB-000191,C01511,2024-08-06,Completed,Marketplace,Rawalpindi,SwiftEx,Bank Transfer,
UB-000192,C01299,2025-05-02,Completed,Mobile App,Rawalpindi,BlueLine,Bank Transfer,
UB-000193,C01116,2025-08-03,Completed,Mobile App,Lahore,RapidGo,Card,
UB-000194,C00857,2025-09-09,Completed,Web,Rawalpindi,BlueLine,Bank Transfer,
UB-000195,C01324,2025-06-29,Returned,Web,Rawalpindi,RapidGo,Wallet,WELCOME10
UB-000196,C00354,2025-07-08,Completed,Web,Islamabad,BlueLine,Bank Transfer,SAVE15
UB-000197,C00267,2024-03-18,Completed,Mobile App,Karachi,SwiftEx,Card,
UB-000198,C00157,2024-06-09,Completed,Mobile App,Islamabad,BlueLine,Cash on Delivery,WELCOME10
UB-000199,C00836,2025-03-16,Completed,Mobile App,Karachi,RapidGo,Wallet,
UB-000200,C01196,2024-07-25,Completed,Marketplace,Faisalabad,BlueLine,Cash on Delivery,
UB-000201,C01496,2025-05-09,Completed,Web,Lahore,SwiftEx,Cash on Delivery,
UB-000202,C01113,2024-04-30,Completed,Mobile App,Islamabad,RapidGo,Wallet,
UB-000203,C00516,2025-10-30,Completed,Mobile App,Rawalpindi,SwiftEx,Wallet,APP5
UB-000204,C00199,2025-05-27,Completed,Marketplace,Karachi,RapidGo,Bank Transfer,
UB-000205,C00281,2025-02-10,Completed,Web,Islamabad,Store Pickup,Card,
UB-000206,C01307,2024-04-29,Completed,Web,Lahore,SwiftEx,Card,FREESHIP
UB-000207,C00960,2024-08-29,Completed,Web,Faisalabad,RapidGo,Cash on Delivery,WELCOME10
UB-000208,C00859,2024-02-12,Completed,Web,Karachi,SwiftEx,Wallet,
UB-000209,C01484,2024-09-21,Completed,Mobile App,Islamabad,BlueLine,Cash on Delivery,
UB-000210,C00177,2024-08-22,Completed,Web,Lahore,SwiftEx,Card,
UB-000211,C00104,2024-08-19,Completed,Web,Islamabad,BlueLine,Cash on Delivery,
UB-000212,C00573,2024-06-08,Completed,Marketplace,Rawalpindi,Store Pickup,Wallet,
UB-000213,C01184,2024-03-04,Completed,Web,Karachi,RapidGo,Bank Transfer,FREESHIP
UB-000214,C01191,2025-08-17,Completed,Mobile App,Rawalpindi,RapidGo,Card,
UB-000215,C01407,2024-08-04,Completed,Web,Lahore,BlueLine,Card,
UB-000216,C01487,2024-11-13,Completed,Mobile App,Islamabad,Store Pickup,Card,APP5
UB-000217,C01338,2024-07-05,Completed,Mobile App,Faisalabad,SwiftEx,Card,APP5
UB-000218,C00150,2024-11-03,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,FREESHIP
UB-000219,C00671,2025-06-30,Completed,Mobile App,Rawalpindi,BlueLine,Card,
UB-000220,C01267,2025-10-07,Completed,Web,Karachi,BlueLine,Bank Transfer,
UB-000221,C01568,2025-09-22,Completed,Mobile App,Rawalpindi,BlueLine,Card,
UB-000222,C00852,2025-07-08,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,
UB-000223,C01484,2025-10-17,Completed,Mobile App,Islamabad,SwiftEx,Cash on Delivery,APP5
UB-000224,C00848,2025-01-21,Completed,Web,Karachi,Store Pickup,Card,WELCOME10
UB-000225,C00244,2024-08-24,Completed,Web,Islamabad,Store Pickup,Card,
UB-000226,C01551,2025-01-29,Completed,Mobile App,Islamabad,RapidGo,Cash on Delivery,
UB-000227,C01032,2024-11-17,Completed,Mobile App,Faisalabad,SwiftEx,Card,WELCOME10
UB-000228,C01141,2025-01-27,Completed,Mobile App,Islamabad,RapidGo,Wallet,APP5
UB-000229,C00522,2024-05-21,Completed,Web,Rawalpindi,BlueLine,Cash on Delivery,APP5
UB-000230,C00707,2024-09-25,Completed,Web,Peshawar,BlueLine,Card,
UB-000231,C00494,2025-12-30,Completed,Web,Faisalabad,BlueLine,Card,
UB-000232,C01026,2025-04-04,Completed,Web,Lahore,RapidGo,Cash on Delivery,
UB-000233,C00478,2025-05-16,Completed,Mobile App,Lahore,BlueLine,Cash on Delivery,
UB-000234,C01277,2025-04-21,Completed,Web,Faisalabad,RapidGo,Card,
UB-000235,C00371,2025-09-12,Completed,Web,Rawalpindi,BlueLine,Wallet,APP5
UB-000236,C00250,2024-09-22,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,SAVE15
UB-000237,C01149,2025-11-08,Completed,Mobile App,Rawalpindi,BlueLine,Cash on Delivery,
UB-000238,C00506,2025-10-16,Completed,Web,Karachi,BlueLine,Card,
UB-000239,C00588,2024-12-04,Returned,Mobile App,Karachi,SwiftEx,Cash on Delivery,
UB-000240,C01246,2024-02-08,Completed,Mobile App,Karachi,BlueLine,Card,
UB-000241,C00799,2025-01-26,Completed,Mobile App,Islamabad,SwiftEx,Bank Transfer,
UB-000242,C01525,2024-10-23,Completed,Web,Lahore,SwiftEx,Card,
UB-000243,C01089,2024-11-08,Completed,Marketplace,Islamabad,Store Pickup,Card,
UB-000244,C00824,2025-04-17,Completed,Mobile App,Faisalabad,BlueLine,Card,WELCOME10
UB-000245,C00425,2025-11-13,Returned,Web,Faisalabad,SwiftEx,Card,
UB-000246,C00803,2025-02-06,Completed,Web,Islamabad,BlueLine,Cash on Delivery,APP5
UB-000247,C00050,2025-05-17,Returned,Web,Karachi,RapidGo,Cash on Delivery,
UB-000248,C01587,2025-06-28,Completed,Mobile App,Karachi,Store Pickup,Cash on Delivery,APP5
UB-000249,C01077,2024-04-09,Completed,Web,Islamabad,BlueLine,Card,
UB-000250,C00101,2025-07-09,Completed,Mobile App,Faisalabad,Store Pickup,Wallet,
UB-000251,C00609,2025-03-28,Completed,Mobile App,Islamabad,RapidGo,Bank Transfer,
UB-000252,C00331,2025-01-12,Completed,Marketplace,Karachi,SwiftEx,Cash on Delivery,
UB-000253,C00034,2024-03-13,Completed,Mobile App,Islamabad,RapidGo,Bank Transfer,
UB-000254,C01408,2024-02-23,Completed,Web,Islamabad,RapidGo,Card,
UB-000255,C00382,2024-07-09,Cancelled,Web,Rawalpindi,RapidGo,Wallet,
UB-000256,C01523,2024-08-05,Completed,Web,Islamabad,BlueLine,Card,
UB-000257,C00364,2025-09-18,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,
UB-000258,C00685,2025-02-25,Completed,Mobile App,Karachi,BlueLine,Card,
UB-000259,C01308,2025-04-27,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,WELCOME10
UB-000260,C00885,2025-10-11,Returned,Mobile App,Lahore,BlueLine,Card,
UB-000261,C00162,2025-10-08,Completed,Mobile App,Faisalabad,Store Pickup,Cash on Delivery,
UB-000262,C00652,2025-09-11,Completed,Web,Karachi,SwiftEx,Cash on Delivery,FREESHIP
UB-000263,C00831,2024-03-22,Completed,Mobile App,Karachi,BlueLine,Card,SAVE15
UB-000264,C00129,2024-10-07,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,
UB-000265,C01330,2025-11-11,Completed,Web,Islamabad,RapidGo,Cash on Delivery,FREESHIP
UB-000266,C00147,2025-05-22,Completed,Web,Rawalpindi,SwiftEx,Card,
UB-000267,C01235,2024-11-08,Completed,Mobile App,Karachi,BlueLine,Card,
UB-000268,C00669,2025-05-10,Completed,Mobile App,Rawalpindi,BlueLine,Card,
UB-000269,C00611,2024-08-11,Completed,Web,Lahore,Store Pickup,Wallet,APP5
UB-000270,C00313,2025-09-17,Completed,Marketplace,Islamabad,RapidGo,Card,WELCOME10
UB-000271,C01485,2025-12-22,Completed,Mobile App,Lahore,SwiftEx,Card,FREESHIP
UB-000272,C01372,2024-12-06,Completed,Web,Islamabad,RapidGo,Cash on Delivery,
UB-000273,C01253,2024-03-15,Completed,Mobile App,Lahore,RapidGo,Cash on Delivery,
UB-000274,C01022,2025-09-18,Completed,Mobile App,Rawalpindi,Store Pickup,Wallet,
UB-000275,C00133,2024-01-28,Completed,Marketplace,Rawalpindi,SwiftEx,Cash on Delivery,
UB-000276,C01331,2024-06-13,Completed,Mobile App,Faisalabad,Store Pickup,Card,SAVE15
UB-000277,C01471,2024-06-14,Completed,Web,Karachi,BlueLine,Card,
UB-000278,C00501,2024-03-09,Completed,Mobile App,Lahore,SwiftEx,Wallet,WELCOME10
UB-000279,C01445,2025-08-21,Completed,Mobile App,Karachi,BlueLine,Cash on Delivery,
UB-000280,C01446,2025-04-18,Completed,Mobile App,Lahore,SwiftEx,Card,
UB-000281,C01311,2025-04-13,Returned,Mobile App,Rawalpindi,BlueLine,Card,SAVE15
UB-000282,C00022,2025-01-24,Completed,Web,Karachi,SwiftEx,Cash on Delivery,
UB-000283,C01183,2025-09-28,Completed,Mobile App,Islamabad,BlueLine,Wallet,FREESHIP
UB-000284,C01394,2024-07-28,Completed,Marketplace,Rawalpindi,RapidGo,Cash on Delivery,WELCOME10
UB-000285,C00234,2025-06-04,Completed,Mobile App,Rawalpindi,SwiftEx,Card,
UB-000286,C00367,2025-02-25,Completed,Web,Rawalpindi,SwiftEx,Card,FREESHIP
UB-000287,C00803,2025-12-07,Completed,Marketplace,Islamabad,SwiftEx,Cash on Delivery,
UB-000288,C01428,2025-05-14,Completed,Mobile App,Faisalabad,BlueLine,Card,
UB-000289,C00227,2025-10-15,Completed,Mobile App,Rawalpindi,RapidGo,Cash on Delivery,
UB-000290,C00681,2024-08-01,Completed,Mobile App,Rawalpindi,SwiftEx,Cash on Delivery,SAVE15
UB-000291,C00401,2025-01-13,Completed,Marketplace,Islamabad,BlueLine,Wallet,APP5
UB-000292,C01529,2025-01-19,Completed,Mobile App,Karachi,Store Pickup,Wallet,
UB-000293,C01012,2025-08-10,Completed,Mobile App,Karachi,RapidGo,Cash on Delivery,
