product_id,category_id,product_name,brand,unit_cost,list_price,active_flag
78,5,Spices 1,Daily Best,544.75,796.67,True
79,5,Basmati Rice 2,Home Select,478.88,755.8,True
80,5,Cooking Oil 2,Urban Choice,302.58,404.47,True
81,5,Flour 2,Urban Choice,710.48,1042.22,True
82,5,Sugar 2,Urban Choice,685.33,1041.34,True
83,5,Lentils 2,Daily Best,707.0,858.64,True
84,5,Spices 2,Urban Choice,812.12,1272.55,True
85,5,Basmati Rice 3,Urban Choice,232.68,331.01,True
86,5,Cooking Oil 3,Daily Best,409.68,487.2,True
87,5,Flour 3,Daily Best,296.68,385.42,True
88,5,Sugar 3,Value Mart,553.89,696.85,True
89,5,Lentils 3,Urban Choice,419.15,585.51,True
90,5,Spices 3,Home Select,507.26,692.53,True
91,6,Potato Chips 1,Urban Choice,321.07,460.09,True
92,6,Mixed Nuts 1,Value Mart,524.51,823.63,True
93,6,Chocolate 1,Value Mart,72.83,92.45,True
94,6,Popcorn 1,Value Mart,538.36,750.76,True
95,6,Crackers 1,Home Select,369.8,484.41,True
96,6,Granola Bars 1,Home Select,367.22,503.64,True
97,6,Potato Chips 2,Value Mart,712.55,1137.46,True
98,6,Mixed Nuts 2,Value Mart,467.33,579.86,True
99,6,Chocolate 2,Daily Best,80.94,113.13,True
100,6,Popcorn 2,Urban Choice,158.88,203.9,True
101,6,Crackers 2,Daily Best,893.27,1117.82,True
102,6,Granola Bars 2,Urban Choice,829.38,1205.68,True
103,6,Potato Chips 3,Urban Choice,681.52,910.57,True
104,6,Mixed Nuts 3,Value Mart,879.92,1254.52,True
105,6,Chocolate 3,Urban Choice,888.95,1246.8,True
106,6,Popcorn 3,Daily Best,719.76,1053.35,True
107,6,Crackers 3,Urban Choice,228.45,321.33,True
108,6,Granola Bars 3,Urban Choice,795.55,1128.63,True
109,7,Dish Soap 1,Home Select,98.8,157.35,True
110,7,Laundry Powder 1,Value Mart,679.34,930.55,True
111,7,Tissues 1,Home Select,556.79,659.52,True
112,7,Trash Bags 1,Urban Choice,338.04,460.06,True
113,7,Floor Cleaner 1,Daily Best,695.0,872.31,True
114,7,Foil 1,Urban Choice,645.87,1014.49,True
115,7,Dish Soap 2,Daily Best,798.92,1203.53,True
116,7,Laundry Powder 2,Value Mart,498.56,758.19,True
117,7,Tissues 2,Daily Best,410.43,548.1,True
118,7,Trash Bags 2,Value Mart,421.79,636.25,True
119,7,Floor Cleaner 2,Daily Best,477.5,587.03,True
120,7,Foil 2,Urban Choice,488.5,728.54,True
121,7,Dish Soap 3,Value Mart,683.69,907.74,True
122,7,Laundry Powder 3,Urban Choice,508.02,641.84,True
123,7,Tissues 3,Home Select,328.9,470.08,True
124,7,Trash Bags 3,Daily Best,445.56,535.65,True
125,7,Floor Cleaner 3,Value Mart,213.73,331.37,True
126,7,Foil 3,Home Select,803.5,1251.22,True
127,8,Shampoo 1,Value Mart,222.26,301.35,True
128,8,Soap 1,Home Select,141.91,172.78,True
129,8,Toothpaste 1,Daily Best,766.85,1183.83,True
130,8,Face Wash 1,Daily Best,653.53,920.1,True
131,8,Hand Wash 1,Home Select,688.03,907.29,True
132,8,Lotion 1,Daily Best,810.08,1246.98,True
133,8,Shampoo 2,Daily Best,320.37,502.33,True
134,8,Soap 2,Daily Best,633.2,945.41,True
135,8,Toothpaste 2,Value Mart,397.42,613.59,True
136,8,Face Wash 2,Daily Best,866.98,1380.36,True
137,8,Hand Wash 2,Value Mart,816.22,1289.36,True
138,8,Lotion 2,Urban Choice,604.6,910.58,True
139,8,Shampoo 3,Home Select,504.16,712.31,True
140,8,Soap 3,Urban Choice,195.06,297.38,True
141,8,Toothpaste 3,Urban Choice,185.67,278.58,True
142,8,Face Wash 3,Urban Choice,406.29,483.71,True
143,8,Hand Wash 3,Daily Best,614.71,804.58,True
144,8,Lotion 3,Daily Best,300.62,422.95,True
